ECTRL ID,CO2
184408024.0,147722.8574216054
184408025.0,144519.36999428342
184408027.0,120550.4651045998
184408029.0,22144.299131779146
184408031.0,309469.17110104935
184408033.0,175968.51711377344
184408035.0,10671.260688646676
184408036.0,85287.55099089399
184408037.0,43636.23369708173
184408038.0,18003.12785126247
184408039.0,48594.15060522091
184408040.0,18285.567387070518
184408041.0,25086.272764824727
184408044.0,15801.836447404485
184408046.0,251893.7777951415
184408047.0,37773.447046031906
184408048.0,237361.0403338825
184408049.0,180033.6710146097
184408050.0,310066.6240078921
184408051.0,31091.27678527201
184408052.0,32865.29775424844
184408056.0,234474.03364030411
184408057.0,38110.09025855147
184408058.0,258653.2387769445
184408059.0,89068.42534942497
184408060.0,26238.521942109146
184408061.0,365481.2293714856
184408062.0,446473.28225918807
184408063.0,434234.4865109493
184408064.0,28911.29521238287
184408065.0,80820.60757391753
184408066.0,81492.13930561482
184408067.0,224247.74161193817
184408070.0,12582.384827545182
184408071.0,39378.68520220764
184408072.0,376313.80909621407
184408074.0,147572.54035132064
184408075.0,67464.97772741225
184408076.0,34980.635296588174
184408077.0,99523.14214536901
184408080.0,227164.20710098193
184408081.0,143590.0569852927
184408083.0,145184.59430473187
184408084.0,255760.1301566394
184408085.0,85562.16560666492
184408086.0,208027.685369481
184408087.0,16224.171902996608
184408089.0,198278.3182404649
184408090.0,176218.76494076618
184408091.0,34131.28806790478
184408092.0,198336.8760673317
184408093.0,27566.703081978838
184408094.0,30012.764887786594
184408095.0,175605.2069123608
184408096.0,121646.1088661295
184408097.0,256317.72161526536
184408098.0,193711.18640032056
184408100.0,17823.49240997794
184408101.0,28995.58729210525
184408103.0,18604.523311468383
184408104.0,33755.19740280102
184408106.0,261478.3038107928
184408107.0,150294.38951784233
184408108.0,82914.08581754638
184408110.0,33799.032882483145
184408111.0,21777.693597153033
184408113.0,20450.03222266502
184408114.0,36416.813874487154
184408115.0,277945.7421608512
184408116.0,36494.56117532559
184408118.0,16341.585202059414
184408119.0,271341.1914520429
184408120.0,141007.08703099244
184408121.0,158734.48562061272
184408122.0,117869.57546220368
184408123.0,152093.66057518715
184408124.0,80387.95892362224
184408125.0,81014.98723663841
184408126.0,242577.6074223749
184408127.0,198662.24040732603
184408128.0,6007.037622141205
184408129.0,20312.476087013507
184408130.0,23077.329870727484
184408131.0,250020.43955789687
184408132.0,183809.42359654617
184408133.0,29819.790301062498
184408135.0,210835.3755096222
184408136.0,243528.30627684345
184408137.0,311693.2818992542
184408138.0,23332.705611435795
184408139.0,6403.832865421662
184408140.0,625013.7543575574
184408141.0,32734.123394791757
184408143.0,118350.50287742693
184408144.0,124793.32284470391
184408145.0,129698.2971835883
184408146.0,264278.1439823109
184408147.0,170076.8581852092
184408148.0,258102.59685869535
184408152.0,19293.401211151562
184408153.0,184037.7137834154
184408154.0,171631.5569133621
184408155.0,171492.8862814083
184408156.0,79402.31415272299
184408157.0,360849.8723973534
184408158.0,80750.14972334345
184408159.0,194675.54432218557
184408160.0,171747.42979613514
184408161.0,30334.19372243262
184408162.0,44301.223495667866
184408163.0,21470.251526395507
184408164.0,201214.69194747793
184408165.0,44726.878542997016
184408166.0,215839.32583947608
184408167.0,144129.87675341644
184408169.0,8365.265516041409
184408170.0,144613.53860599553
184408171.0,21894.479246413703
184408172.0,41356.79260742695
184408173.0,137437.65192572383
184408174.0,45059.747985830334
184408175.0,25692.707017482808
184408176.0,26096.66986380082
184408178.0,314486.63445596135
184408180.0,53675.8875448962
184408182.0,34980.56632697366
184408185.0,18842.30685898284
184408186.0,35275.16381815185
184408187.0,190913.38338277693
184408189.0,65845.87728646128
184408190.0,11447.1319042441
184408194.0,319781.60751349793
184408196.0,184858.94788169794
184408197.0,178662.40040830398
184408198.0,269467.0177106641
184408199.0,27684.331775659597
184408200.0,176776.72748794095
184408201.0,186251.2493542033
184408203.0,352002.1445246155
184408205.0,27925.252096631175
184408206.0,320749.8253469565
184408207.0,183002.65681541828
184408208.0,33655.36075792351
184408212.0,278987.7074061087
184408213.0,39494.11128162171
184408214.0,35003.455338053274
184408217.0,15652.785194279759
184408218.0,135888.9874775615
184408219.0,154789.2592012446
184408220.0,135468.73802617344
184408221.0,262966.8872819706
184408223.0,28476.49991870847
184408224.0,25768.51549937047
184408225.0,27273.420423463158
184408227.0,217777.16368377485
184408228.0,240754.45829283644
184408229.0,197927.20405150822
184408230.0,191216.4262214899
184408231.0,405754.0354260622
184408232.0,21428.43283912332
184408233.0,234234.0482402137
184408234.0,377109.9607976164
